Grid_type,I0 set,I0 min int,I0 max int,Hole (um),Space (um),Hole_measured (um),Space_measured (um),Instrument,Session date,Directory,Error,Type,Advisory,EPU Session,EPU session date,Tilt,Defocus max (um),Defocus min (um),Spot,C2,Beam_um,Mag_X,apix (A/px),Slit,Slit width,Atlas_mag,Atlas_apix,Atlas_probe,Atlas_spot,Atlas_C2,Atlas_beam,Atlas_DF,Sq_mag,Sq_apix,Sq_probe,Sq_spot,Sq_C2,Sq_beam,Sq_DF,Hole_mag,Hole_apix,Hole_probe,Hole_spot,Hole_C2,Hole_beam,Hole_DF,Data_mag,Data_apix,Data_probe,Data_spot,Data_C2,Data_beam,Data_DF,epuVersion
HoleyCarbon,TRUE,0,45,2,2,2.3,2.2,Krios1,05/01/2023,anonymsed,None,SPA,0,anonymsed,06/01/2023 10:27,0,-2.5,-0.6,6,50,0.5,165000,0.513,TRUE,20,135,4713.3,MicroProbe,6,50,1136,-500,470,420.2,MicroProbe,6,50,214.9,-1050,8700,21.3,NanoProbe,9,50,9,-49.9,165000,1.1,NanoProbe,6,50,0.5,-3,3.0.0-1092.0
HoleyCarbon,TRUE,0,45,2,2,2.3,2.2,Krios1,05/01/2023,anonymsed,None,SPA,0,anonymsed,06/01/2023 14:16,0,-2.5,-0.7,6,50,1.1,81000,1.072,TRUE,20,135,4713.3,MicroProbe,6,50,1136,-500,470,420.2,MicroProbe,6,50,214.9,-1050,8700,21.3,NanoProbe,9,50,9,-49.9,81000,2.2,NanoProbe,6,50,1.1,-3,3.0.0-1076.0
HoleyCarbon,FALSE,1272,3380,1.2,1.3,1.6,1.1,GlcsII,06/01/2023,anonymsed,None,SPA,0,anonymsed,06/01/2023 17:17,0,-3,-1.79,5,50,0,120000,1.192,None,None,115,4667.6,MicroProbe,8,150,0,-3000,510,546.8,MicroProbe,6,50,0,-3000,11000,26.5,MicroProbe,7,50,0,-99.9,120000,1.3,NanoProbe,5,50,0,-3,3.0.0-1299.0
HoleyCarbon,TRUE,3,10,1.2,1.3,1.3,1.3,Krios4,18/01/2023,anonymsed,None,SPA,0,anonymsed,18/01/2023 13:09,0,-2.29,-1.3,5,50,1,105000,0.829,TRUE,20,135,4824.2,MicroProbe,9,100,900,-1000,740,236.5,MicroProbe,5,50,200,-150,15000,12.6,NanoProbe,8,50,10,-14.9,105000,1.8,NanoProbe,5,50,1,-3.5,3.0.0-1916.0
HoleyCarbon,TRUE,0,1,1.2,1.3,1.2,1.3,Krios4,18/01/2023,anonymsed,None,SPA,0,anonymsed,19/01/2023 10:36,0,-2.29,-1.2,5,50,1,105000,0.829,TRUE,20,135,4824.2,MicroProbe,9,100,900,-1000,740,236.5,MicroProbe,5,50,200,-49.9,11500,16.4,NanoProbe,8,50,10,-14.9,105000,1.8,NanoProbe,5,50,1,-3.5,3.0.0-1935.0
HoleyCarbon,TRUE,0,315,1.2,1.3,1.2,1.3,Krios4,18/01/2023,anonymsed,None,SPA,0,anonymsed,19/01/2023 23:29,0,-2.29,-1.2,5,50,1,105000,0.829,TRUE,20,135,4824.2,MicroProbe,9,100,900,-1000,740,236.5,MicroProbe,5,50,200,-49.9,11500,16.4,NanoProbe,8,50,10,-14.9,105000,1.8,NanoProbe,5,50,1,-3.5,3.0.0-2157.0
HoleyCarbon,TRUE,1,1,2,2,2,2.1,Krios4,20/01/2023,anonymsed,None,SPA,0,anonymsed,20/01/2023 11:47,0,-2.2,-0.8,5,50,0.8,130000,0.651,TRUE,20,135,4824.2,MicroProbe,9,100,900,-1000,360,481.7,MicroProbe,5,50,200,-49.9,11500,16.4,NanoProbe,8,50,10,-14.9,130000,1.4,NanoProbe,5,50,0.8,-3.5,3.0.0-787.0
HoleyCarbon,FALSE,0,842,1.2,1.3,1.2,1.3,Krios3,25/01/2023,anonymsed,None,SPA,0,anonymsed,25/01/2023 12:50,0,-3,-1.6,7,50,0.6,165000,0.723,TRUE,10,190,4565.7,MicroProbe,8,50,1005.4,-500,940,94.1,MicroProbe,7,50,121.8,-250,11500,11.2,NanoProbe,11,50,10.2,-49.9,165000,0.8,NanoProbe,7,50,0.6,-2,3.0.0-1323.0
HoleyCarbon,TRUE,1,1,2,2,2.2,2.1,Krios3,30/01/2023,anonymsed,None,SPA,0,anonymsed,30/01/2023 14:50,0,-3,-0.5,7,50,1,105000,1.171,TRUE,10,190,4565.7,MicroProbe,6,50,1005.4,-500,740,337.2,MicroProbe,6,50,140,800,11500,22.3,NanoProbe,11,50,10.2,-49.9,105000,1.3,NanoProbe,7,50,1,-4,3.0.0-1194.0
HoleyCarbon,FALSE,297,1650,2,1,2.3,1.6,Krios4,30/01/2023,anonymsed,None,SPA,0,anonymsed,30/01/2023 15:57,0,-3,-1,5,50,0.9,105000,0.829,TRUE,20,135,4824.2,MicroProbe,9,100,900,-1000,580,337.4,MicroProbe,5,50,200,-49.9,11500,16.4,NanoProbe,8,50,10,-14.9,105000,1.8,NanoProbe,5,50,0.9,-3.5,3.0.0-1375.0
HoleyCarbon,TRUE,1,3,1.2,1.3,1.1,1.1,Krios4,03/02/2023,anonymsed,None,SPA,0,anonymsed,03/02/2023 13:52,0,-1.6,-0.6,5,50,0.7,130000,0.651,TRUE,20,135,4824.2,MicroProbe,9,100,900,-1000,580,337.4,MicroProbe,5,50,200,-49.9,11500,16.4,NanoProbe,8,50,10,-14.9,130000,1.4,NanoProbe,5,50,0.7,-3.5,3.0.0-933.0
HoleyCarbon,FALSE,297,1650,1.2,1.3,1.1,1.1,Krios4,03/02/2023,anonymsed,None,SPA,0,anonymsed,03/02/2023 14:11,0,xml read error,xml read error,5,50,0.7,130000,0.651,TRUE,20,135,4824.2,MicroProbe,9,100,900,-1000,580,337.4,MicroProbe,5,50,200,-49.9,11500,16.4,NanoProbe,8,50,10,-14.9,130000,1.4,NanoProbe,5,50,0.7,-3.5,3.0.0-1292.0
HoleyCarbon,FALSE,297,1650,1.2,1.3,1.1,1.1,Krios4,03/02/2023,anonymsed,None,SPA,0,anonymsed,04/02/2023 10:20,0,-1.79,-0.6,5,50,0.7,130000,0.651,TRUE,20,135,4824.2,MicroProbe,9,100,900,-1000,580,337.4,MicroProbe,5,50,200,-49.9,11500,16.4,NanoProbe,8,50,10,-14.9,130000,1.4,NanoProbe,5,50,0.7,-3.5,3.0.0-939.0
HoleyCarbon,TRUE,1,2,2,2,2,2.1,Krios4,03/02/2023,anonymsed,None,SPA,0,anonymsed,05/02/2023 10:22,0,-1.4,-0.4,5,50,0.7,130000,0.651,TRUE,20,135,4824.2,MicroProbe,9,100,900,-1000,470,415.7,MicroProbe,5,50,200,-49.9,6500,28.1,NanoProbe,8,50,11,-14.9,130000,1.4,NanoProbe,5,50,0.7,-3.5,3.0.0-733.0
HoleyCarbon,TRUE,1,1,1.2,1.3,1.3,1.4,Krios4,06/02/2023,anonymsed,None,SPA,0,anonymsed,07/02/2023 14:59,0,-2,-0.5,5,50,0.7,130000,0.651,TRUE,20,135,4824.2,MicroProbe,9,100,900,-1000,580,337.4,MicroProbe,5,50,200,-49.9,15000,12.6,NanoProbe,8,50,11,-14.9,130000,1.4,NanoProbe,5,50,0.7,-1.2,3.0.0-920.0
