Session_date,Directory,Error,Advisory,EPU session,EPU session date,Atlas,Instrument,AFIS/Accurate,Grid_type,I0 set,I0 min int,I0 max int,Hole (um),Space (um),Beam (um),Shots per hole,ShotID,Movie_dir,Movie_format,Movie_ext,Relion,Jobs,Processed,apix,Targeted_squares,Collected_squares,Average Foils per Square,Tilt,Total_EPU_mics,Total_movies,MotionCorr,Early_motion_mean,Early_motion_min,Early_motion_max,Late_motion_mean,Late_motion_min,Late_motion_max,Total_motion_mean,Total_motion_min,Total_motion_max,First_mic,First_cor,Last_mic,Last_cor,CtfFind,Ctf_min_A,Ctf_max_A,Picking,Pick_min,Pick_max,Ptcl_d_A,Particles,Extracted_mics,Box_px,Box_ang,Av_ptcls_per_mic,Std_ptcls_per_mic,Norm_av_ptcls_per_mic,Norm_std_ptcls_per_mic,DBSCAN_eps:,Mean_ptcls_pct_clustered,Std_ptcls_pct_clustered,Class2D_requested,Class2D_results,Mask_ang,Class2D_prob_max,Class2D_prob_min,Class2D_res_max,Class2D_res_min,Class2D_res_mean,Class2D_res_mode,Class3D_requested,Class3D_results,Report path,Session report,Processed report,epuVersion
05/01/2023,anonymised,None,0,anonymised,06/01/2023 10:27,Sample4,Krios1,AFIS,HoleyCarbon,TRUE,0,45,2,2,0.5,13,"['5357328', '5357297', '5357273', '5357336', '5357305', '5357247', '5357313', '5357282', '5357256', '5357289', '5357321', '5357263', '5357232', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,5,Y,0.513,5,5,102,0,2840,2845,2845,2.88,0,12.33,16.36,0,72.49,19.23,0,76.72,ND,ND,ND,ND,2845,2.75,25,cryolo,100,180,139.392,726964,2844,422,216.486,256,73,0.81,0.23,,0.49,0.12,Y,Y,139.392,1,0.01,108.24,6.77,18,17,N,N,anonymised,anonymised,anonymised,3.0.0-1092.0
05/01/2023,anonymised,None,0,anonymised,06/01/2023 14:16,Sample4,Krios1,AFIS,HoleyCarbon,TRUE,0,45,2,2,1.1,5,"['5380395', '5380403', '5380411', '5380418', '5380389', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,5,Y,1.072,6,6,110,0,3305,3306,3306,3.14,0,14.62,9.95,0,47,13.08,0,50.28,ND,ND,ND,ND,3306,3,25,cryolo,100,180,119.455,2168267,3306,206,220.832,656,133,0.35,0.07,,0.06,0.03,Y,Y,119.455,1,0.01,216.3,6.76,23,22,Y,Y,anonymised,anonymised,anonymised,3.0.0-1076.0
06/01/2023,anonymised,None,0,anonymised,06/01/2023 17:17,Sample12,GlcsII,Accrt,HoleyCarbon,FALSE,1272,3380,1.2,1.3,0,1,"['5299481', 'autofocus']",anonymised,Gain normalized,.mrc,anonymised,2,Y,1.192,2,2,592,0,507,1014,507,5.12,0.21,26.34,25.33,6.07,100.38,30.45,6.45,106.98,ND,ND,ND,ND,507,3.31,25,cryolo,80,400,209.33,113224,505,402,479.184,225,37,0.42,0.07,,0.32,0.09,Y,Y,209.33,1,0.02,96.48,14.62,35,32,N,N,anonymised,anonymised,anonymised,3.0.0-1299.0
18/01/2023,anonymised,None,0,anonymised,18/01/2023 13:09,Sample6,Krios4,AFIS,HoleyCarbon,TRUE,3,10,1.2,1.3,1,2,"['17714156', '17714258', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,2,Y,0.829,40,40,62,0,4940,4948,4948,3.14,0,142.71,16.88,0,538.67,20.01,0,681.38,ND,ND,ND,ND,4948,2.89,25,cryolo,140,230,172.346,470523,4941,384,318.336,96,45,0.18,0.09,,0.25,0.12,Y,Y,172.346,1,0.01,318.34,12.73,22,21,Y,Y,anonymised,anonymised,anonymised,3.0.0-1916.0
18/01/2023,anonymised,None,0,anonymised,19/01/2023 10:36,Sample2,Krios4,AFIS,HoleyCarbon,TRUE,0,1,1.2,1.3,1,3,"['18843890', '18843899', '18844093', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,3,Y,0.829,31,31,90,0,5268,5274,5274,2.79,0,27.8,12.65,0,123.46,15.43,0,133.99,ND,ND,ND,ND,5274,2.64,25,cryolo,150,220,156.88,938931,5267,320,265.28,179,84,0.28,0.13,,0.39,0.15,Y,Y,156.88,1,0.01,265.28,8.29,25,24,N,N,anonymised,anonymised,anonymised,3.0.0-1935.0
18/01/2023,anonymised,None,0,anonymised,19/01/2023 23:29,Sample4,Krios4,AFIS,HoleyCarbon,TRUE,0,315,1.2,1.3,1,3,"['19885326', '19885308', '19885318', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,2,Y,0.829,27,27,58,0,3747,3751,3751,3.31,0,379.72,13.65,0,332.65,16.96,0,602.09,ND,ND,ND,ND,3751,2.72,25,cryolo,150,220,148.928,1083735,3740,320,265.28,290,100,0.4,0.14,,0.42,0.11,Y,Y,148.928,1,0.01,265.28,8.29,23,24,Y,Y,anonymised,anonymised,anonymised,3.0.0-2157.0
20/01/2023,anonymised,None,0,anonymised,20/01/2023 11:47,Sample9,Krios4,AFIS,HoleyCarbon,TRUE,1,1,2,2,0.8,9,"['19949435', '19949439', '19949442', '19949445', '19949509', '19949448', '19949451', '19949607', '19949546', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,3,Y,0.651,19,19,181,0,12334,12343,12343,11.69,0,340.68,29.44,0,1094.24,41.13,0,1209.32,ND,ND,ND,ND,12343,2.71,25,cryolo,100,180,66.169,1562770,11122,112,72.912,141,92,0.07,0.04,,0.25,0.16,Y,Y,66.169,1,0.01,146.05,1.3,15,24,N,N,anonymised,anonymised,anonymised,3.0.0-787.0
25/01/2023,anonymised,None,0,anonymised,25/01/2023 12:50,Sample5,Krios3,AFIS,HoleyCarbon,FALSE,0,842,1.2,1.3,0.6,5,"['24939350', '24938949', '24939362', '24939368', '24939432', 'autofocus']",anonymised,Gain normalized,.xml,anonymised,2,Y,0.723,57,57,107,0,19491,38986,19493,1.61,0.08,135.15,12.62,3.98,150.91,14.23,4.34,286.06,ND,ND,ND,ND,19493,2.58,25,cryolo,100,150,157.507,1778278,19465,250,180.75,92,61,0.26,0.18,,0.39,0.19,Y,Y,157.507,1,0.01,180.75,7.53,24,26,N,N,anonymised,anonymised,anonymised,3.0.0-1323.0
30/01/2023,anonymised,None,0,anonymised,30/01/2023 14:50,Sample5,Krios3,AFIS,HoleyCarbon,TRUE,1,1,2,2,1,6,"['30147101', '30147133', '30147110', '30147117', '30147125', '30147094', 'autofocus']",anonymised,Gain normalized,.xml,anonymised,4,Y,1.171,62,62,36,0,11971,23948,11974,1.31,0.14,75.79,7.71,2,556.61,9.01,2.52,620.35,ND,ND,ND,ND,11974,2.8,25,cryolo,250,350,252.746,425688,11917,360,421.56,36,19,0.1,0.06,,0.12,0.14,Y,Y,252.746,1,0.01,421.56,7.4,32,18,N,N,anonymised,anonymised,anonymised,3.0.0-1194.0
30/01/2023,anonymised,None,0,anonymised,30/01/2023 15:57,Sample5,Krios4,AFIS,HoleyCarbon,FALSE,297,1650,2,1,0.9,7,"['30561016', '30561019', '30561022', '30561025', '30561028', '30561031', '30561034', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,4,Y,0.829,39,39,277,0,47660,47668,47668,3.09,0,415.48,10.97,0,1134.19,14.05,0,1400.7,ND,ND,ND,ND,47668,2.34,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,N,N,anonymised,anonymised,anonymised,3.0.0-1375.0
