Session date,Directory,Error,Type,Advisory,Instrument,EPU Session,EPU session date,Supervisor size (GB),Grid_type,I0 set,I0 min int,I0 max int,Grids,Atlas,Setup time (hrs),Total squares,Targeted squares,Collected squares,Average Foils per Square,Movie_dir,Movie_format,Movie_ext,Total_movies,superres bin,Size (TB),Tilt,Collection time (hrs),Rate (mic/hr),Total_EPU_mics,Rate (um^2/hr),Total area (um^2),Mag (X),apix (A/px),Hole (um),Space (um),Hole_measured (um),Space_measured (um),Beam (um),Shots per hole,ShotID,Stage wait (s),AFIS/Accurate,AFIS wait (s),AFIS radius (um),Exposure time (s),Dose rate (e/A2/s),Dose,Total dose (e/A2),Fractions,Fraction dose (e/A2),Defocus max (um),Defocus min (um),Processed,Relion,Jobs,Processed size (TB),Report path,Session report,epuVersion,~rate
05/01/2023,anonymsed,None,SPA,0,Krios1,anonymsed,06/01/2023 10:27,,HoleyCarbon,TRUE,0,45,3,Sample4,0.7,374,5,5,102,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,2845,2,,0,3.2,904,2840,56,176,165000,0.513,2,2,2.3,2.2,0.5,13,,5,AFIS,0.5,12,0.9,56.238,calibrated,50.7,50,1.1,-2.5,-0.6,Y,anonymsed,5,,anonymsed,anonymsed,3.0.0-1092.0,0.24
05/01/2023,anonymsed,None,SPA,0,Krios1,anonymsed,06/01/2023 14:16,,HoleyCarbon,TRUE,0,45,3,Sample4,0.9,374,6,6,110,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,3306,2,,0,7.1,471,3305,128,895,81000,1.072,2,2,2.3,2.2,1.1,5,,5,AFIS,0.5,12,3.8,12.879,calibrated,49,50,1,-2.5,-0.7,Y,anonymsed,5,,anonymsed,anonymsed,3.0.0-1076.0,0.54
06/01/2023,anonymsed,None,SPA,0,GlcsII,anonymsed,06/01/2023 17:17,,HoleyCarbon,FALSE,1272,3380,12,Sample12,0.7,483,2,2,592,anonymsed,Gain normalized,.mrc,1014,1,,0,21,24,507,6,121,120000,1.192,1.2,1.3,1.6,1.1,0,1,,8,Accrt,2,,10.09,3.168,estimated,32,45,0.8,-3,-1.79,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1299.0,0.03
18/01/2023,anonymsed,None,SPA,0,Krios4,anonymsed,18/01/2023 13:09,,HoleyCarbon,TRUE,3,10,4,Sample6,2,797,40,40,62,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,4948,2,,0,13.5,366,4940,59,800,105000,0.829,1.2,1.3,1.3,1.3,1,2,,5,AFIS,0.5,12,2.66,22.569,calibrated,60.1,60,1.1,-2.29,-1.3,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1916.0,0.25
18/01/2023,anonymsed,None,SPA,0,Krios4,anonymsed,19/01/2023 10:36,,HoleyCarbon,TRUE,0,1,4,Sample2,0.6,805,31,31,90,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,5274,2,,0,12.2,434,5268,70,853,105000,0.829,1.2,1.3,1.2,1.3,1,3,,5,AFIS,0.5,12,2.66,22.569,calibrated,60.1,60,1.1,-2.29,-1.2,Y,anonymsed,3,,anonymsed,anonymsed,3.0.0-1935.0,0.3
18/01/2023,anonymsed,None,SPA,0,Krios4,anonymsed,19/01/2023 23:29,,HoleyCarbon,TRUE,0,315,4,Sample4,1,916,27,27,58,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,3751,2,,0,8.8,426,3747,69,607,105000,0.829,1.2,1.3,1.2,1.3,1,3,,5,AFIS,0.5,12,2.66,22.569,calibrated,60.1,60,1.1,-2.29,-1.2,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-2157.0,0.29
20/01/2023,anonymsed,None,SPA,0,Krios4,anonymsed,20/01/2023 11:47,,HoleyCarbon,TRUE,1,1,3,Sample9,0.5,225,19,19,181,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,12343,2,,0,19.6,630,12334,63,1232,130000,0.651,2,2,2,2.1,0.8,9,,3,AFIS,0.5,12,1.5,35.394,estimated,53.1,50,1.1,-2.2,-0.8,Y,anonymsed,3,,anonymsed,anonymsed,3.0.0-787.0,0.27
25/01/2023,anonymsed,None,SPA,0,Krios3,anonymsed,25/01/2023 12:50,,HoleyCarbon,FALSE,0,842,4,Sample5,3.2,457,57,57,107,anonymsed,Gain normalized,.xml,38986,1,,0,40.7,480,19491,42,1709,165000,0.723,1.2,1.3,1.2,1.3,0.6,5,,5,AFIS,0.5,12,3.92,13.392,estimated,52.5,60,0.9,-3,-1.6,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1323.0,0.18
30/01/2023,anonymsed,None,SPA,0,Krios3,anonymsed,30/01/2023 14:50,,HoleyCarbon,TRUE,1,1,4,Sample5,1.9,399,62,62,36,anonymsed,Gain normalized,.xml,23948,1,,0,40.4,297,11971,68,2754,105000,1.171,2,2,2.2,2.1,1,6,,5,AFIS,0.5,12,7.79,5.105,estimated,39.8,45,0.9,-3,-0.5,Y,anonymsed,4,,anonymsed,anonymsed,3.0.0-1194.0,0.29
30/01/2023,anonymsed,None,SPA,0,Krios4,anonymsed,30/01/2023 15:57,,HoleyCarbon,FALSE,297,1650,8,Sample5,0.9,520,39,39,277,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,47668,2,,0,76.1,626,47660,101,7720,105000,0.829,2,1,2.3,1.6,0.9,7,,3,AFIS,0.5,12,2.1,23.788,calibrated,50,50,1,-3,-1,Y,anonymsed,4,,anonymsed,anonymsed,3.0.0-1375.0,0.43
